head,relation,tail,doc_id
prostate,mentioned_in,23806388,23806388
aggressive bcr,mentioned_in,23806388,23806388
prostate disease research(cpdr)/cancer,mentioned_in,23806388,23806388
cancer,mentioned_in,23806388,23806388
chronic oro-facial pain,mentioned_in,17919952,17919952
oro-facial pain,mentioned_in,17919952,17919952
"teeth grinding, facial",mentioned_in,17919952,17919952
trauma,mentioned_in,17919952,17919952
teeth and the feeling that the teeth,mentioned_in,17919952,17919952
amblyopia,mentioned_in,10966943,10966943
pain,mentioned_in,23690198,23690198
labor,mentioned_in,23690198,23690198
urothelial carcinoma,mentioned_in,17940352,17940352
methotrexate,mentioned_in,17940352,17940352
vinblastine,mentioned_in,17940352,17940352
epirubicin,mentioned_in,17940352,17940352
cisplatin,mentioned_in,17940352,17940352
halofantrine,mentioned_in,20537205,20537205
plasmodium falciparum,mentioned_in,20537205,20537205
malaria,mentioned_in,20537205,20537205
toluidine blue,mentioned_in,20537205,20537205
fasciitis,mentioned_in,7482275,7482275
hbo,mentioned_in,7482275,7482275
fractures,mentioned_in,24183388,24183388
avascular necrosis,mentioned_in,24183388,24183388
fracture,mentioned_in,24183388,24183388
talar neck fractures,mentioned_in,24183388,24183388
necrosis,mentioned_in,24183388,24183388
benign vocal pathologies,mentioned_in,26298839,26298839
aneurysmal subarachnoid hemorrhage,mentioned_in,24153338,24153338
asah,mentioned_in,24153338,24153338
aneurysm,mentioned_in,24153338,24153338
diabetes,mentioned_in,18534072,18534072
diabetic,mentioned_in,18534072,18534072
hepatocellular carcinoma,mentioned_in,8847047,8847047
hcc,mentioned_in,8847047,8847047
cancer,mentioned_in,8847047,8847047
fibrous capsule formation,mentioned_in,8847047,8847047
barium sulfate,mentioned_in,8847047,8847047
tumor,mentioned_in,8847047,8847047
allergic,mentioned_in,20084845,20084845
cetyl trimethyl ammonium bromide-based,mentioned_in,20084845,20084845
cancer,mentioned_in,15703931,15703931
tumour,mentioned_in,15703931,15703931
diabetes mellitus,mentioned_in,15703931,15703931
cervical cancer,mentioned_in,15703931,15703931
curable recurrent cervical carcinoma,mentioned_in,15703931,15703931
0.950/0.938/0.979,mentioned_in,15703931,15703931
asa,mentioned_in,18269157,18269157
keratoconus,mentioned_in,18269157,18269157
ectasia,mentioned_in,18269157,18269157
corneal haze,mentioned_in,18269157,18269157
haze,mentioned_in,18269157,18269157
toxicity,mentioned_in,25489696,25489696
cancer,mentioned_in,25489696,25489696
primary rectal cancer,mentioned_in,25489696,25489696
tumor,mentioned_in,25489696,25489696
lymphedema,mentioned_in,14599616,14599616
breast cancer,mentioned_in,14599616,14599616
volume increase,mentioned_in,14599616,14599616
colorectal cancers,mentioned_in,22537902,22537902
crc,mentioned_in,22537902,22537902
schizophrenia,mentioned_in,19054501,19054501
fournier's gangrene,mentioned_in,19504993,19504993
death,mentioned_in,20571467,20571467
ischemia,mentioned_in,20571467,20571467
creatininaemias,mentioned_in,20571467,20571467
ssi,mentioned_in,24237112,24237112
carotid artery stenosis,mentioned_in,21402341,21402341
stroke,mentioned_in,21402341,21402341
carotid disease,mentioned_in,21402341,21402341
carotid stenosis,mentioned_in,21402341,21402341
peripheral vascular disease,mentioned_in,21402341,21402341
pvd,mentioned_in,21402341,21402341
diabetes mellitus,mentioned_in,21402341,21402341
cerebrovascular disease,mentioned_in,21402341,21402341
stenosis,mentioned_in,21402341,21402341
strokes,mentioned_in,21402341,21402341
gastric cancer,mentioned_in,20082356,20082356
uicc,mentioned_in,20082356,20082356
gastric carcinoma,mentioned_in,20082356,20082356
heterotopic ossification,mentioned_in,26606599,26606599
acetabular fractures,mentioned_in,26606599,26606599
trauma,mentioned_in,26606599,26606599
acetabular fracture,mentioned_in,26606599,26606599
xrt,mentioned_in,26606599,26606599
"injury, injury severity score, presence of neurologic injury",mentioned_in,26606599,26606599
fracture,mentioned_in,26606599,26606599
dislocation,mentioned_in,26606599,26606599
blood loss,mentioned_in,26606599,26606599
statins,mentioned_in,11340218,11340218
stroke,mentioned_in,11340218,11340218
74-year-old stroke,mentioned_in,11340218,11340218
statin,mentioned_in,11340218,11340218
death,mentioned_in,11340218,11340218
pis,mentioned_in,25481573,25481573
fractures,mentioned_in,25277731,25277731
sternal fractures,mentioned_in,25277731,25277731
fracture,mentioned_in,25277731,25277731
pain,mentioned_in,25277731,25277731
decreased sexual desire,mentioned_in,25475395,25475395
androgen deficiency,mentioned_in,25475395,25475395
pituitary disease,mentioned_in,25475395,25475395
age-related decline,mentioned_in,25475395,25475395
testosterone,mentioned_in,25475395,25475395
androsterone glucuronide,mentioned_in,25475395,25475395
adt-g,mentioned_in,25475395,25475395
androstenedione,mentioned_in,25475395,25475395
dehydroepiandrosterone sulfate,mentioned_in,25475395,25475395
dheas,mentioned_in,25475395,25475395
breast cancer,mentioned_in,23177368,23177368
seromas,mentioned_in,23177368,23177368
pterygium,mentioned_in,17179167,17179167
human papillomavirus,mentioned_in,17179167,17179167
pterygia,mentioned_in,17179167,17179167
hpv-positive pterygia,mentioned_in,17179167,17179167
aortic stenosis,mentioned_in,27491658,27491658
tavi,mentioned_in,27491658,27491658
hypoxia/anoxia,mentioned_in,19822586,19822586
death,mentioned_in,19822586,19822586
aea,mentioned_in,19822586,19822586
comorbid major depression,mentioned_in,27643961,27643961
alcohol,mentioned_in,27643961,27643961
aud,mentioned_in,27643961,27643961
cough,mentioned_in,23539689,23539689
inner-city,mentioned_in,23539689,23539689
ped,mentioned_in,23539689,23539689
supraglottic airway,mentioned_in,22453060,22453060
cip,mentioned_in,22227642,22227642
stenosis,mentioned_in,12380309,12380309
repetitive balanopostitis,mentioned_in,12380309,12380309
balanitis,mentioned_in,12380309,12380309
diverticulitis,mentioned_in,22186742,22186742
malignancy,mentioned_in,22186742,22186742
polyp,mentioned_in,22186742,22186742
adenoma,mentioned_in,22186742,22186742
dementia,mentioned_in,22188074,22188074
depression,mentioned_in,22188074,22188074
iadl disabilities,mentioned_in,22188074,22188074
iadl disability,mentioned_in,22188074,22188074
infection,mentioned_in,27989969,27989969
overweight,mentioned_in,18607272,18607272
dyslexia,mentioned_in,18235194,18235194
hearing loss,mentioned_in,18235194,18235194
multiple sclerosis,mentioned_in,18049437,18049437
autoimmunity,mentioned_in,18049437,18049437
streptococcal infections,mentioned_in,18049437,18049437
infection,mentioned_in,18049437,18049437
antideoxyribonuclease b,mentioned_in,18049437,18049437
estradiol,mentioned_in,15597845,15597845
2-methoxyestradiol,mentioned_in,15597845,15597845
2me,mentioned_in,15597845,15597845
human ovary cancer,mentioned_in,15597845,15597845
epirubicine,mentioned_in,15597845,15597845
doxorubicine,mentioned_in,15597845,15597845
paclitaxel,mentioned_in,15597845,15597845
docetaxel,mentioned_in,15597845,15597845
carboplatin,mentioned_in,15597845,15597845
vinorelbine,mentioned_in,15597845,15597845
5-fluorouracil,mentioned_in,15597845,15597845
mafosfamide,mentioned_in,15597845,15597845
ovary cancer,mentioned_in,15597845,15597845
renal cell carcinoma,mentioned_in,17489316,17489316
pt3 renal cell carcinoma,mentioned_in,17489316,17489316
pt3b tumour,mentioned_in,17489316,17489316
vena cava invasion,mentioned_in,17489316,17489316
tumour,mentioned_in,17489316,17489316
deaths,mentioned_in,14518645,14518645
poisoning,mentioned_in,14518645,14518645
death,mentioned_in,14518645,14518645
alcohol,mentioned_in,14518645,14518645
preterm rupture,mentioned_in,20337202,20337202
obstructive sleep apnoea,mentioned_in,26449554,26449554
osa,mentioned_in,26449554,26449554
obesity,mentioned_in,26449554,26449554
obese,mentioned_in,26449554,26449554
apnoea-hypopnoea,mentioned_in,26449554,26449554
oxygen,mentioned_in,26449554,26449554
sptb,mentioned_in,26215326,26215326
preterm premature rupture,mentioned_in,26215326,26215326
pprom,mentioned_in,26215326,26215326
preterm labor,mentioned_in,26215326,26215326
ptb,mentioned_in,26215326,26215326
acd,mentioned_in,26215326,26215326
rectal cancer,mentioned_in,29112560,29112560
cancer,mentioned_in,29112560,29112560
90-day,mentioned_in,29112560,29112560
dopamine,mentioned_in,24315783,24315783
parkinson disease,mentioned_in,24315783,24315783
aripiprazole,mentioned_in,24315783,24315783
adverse drug reaction,mentioned_in,24315783,24315783
adr,mentioned_in,24315783,24315783
schizophrenic,mentioned_in,24315783,24315783
bipolar,mentioned_in,24315783,24315783
addictive disorders,mentioned_in,24315783,24315783
amine,mentioned_in,9381529,9381529
chloroquine,mentioned_in,9381529,9381529
graft-versus-host disease,mentioned_in,9381529,9381529
gvhd,mentioned_in,9381529,9381529
amines,mentioned_in,9381529,9381529
cyclosporine,mentioned_in,9381529,9381529
amines chloroquine,mentioned_in,9381529,9381529
hydroxychloroquine,mentioned_in,9381529,9381529
t-cell,mentioned_in,9381529,9381529
anti-cd3epsilon,mentioned_in,9381529,9381529
lipopolysaccharide,mentioned_in,9381529,9381529
nasopharyngeal carcinoma,mentioned_in,8985020,8985020
npc,mentioned_in,8985020,8985020
anderson cancer,mentioned_in,8985020,8985020
cerebrovascular accident,mentioned_in,8985020,8985020
squamous cell carcinoma,mentioned_in,8985020,8985020
lymphoepitheliomas,mentioned_in,8985020,8985020
undifferentiated npc,mentioned_in,8985020,8985020
carcinoma,mentioned_in,8985020,8985020
unpc,mentioned_in,8985020,8985020
torsion,mentioned_in,26708803,26708803
hydrocele,mentioned_in,26708803,26708803
injury to the spermatic cord,mentioned_in,26708803,26708803
hernia,mentioned_in,26708803,26708803
25:12,mentioned_in,26708803,26708803
torsed,mentioned_in,26708803,26708803
visual and/or auditory,mentioned_in,22427593,22427593
hearing or vision,mentioned_in,22427593,22427593
sulfasalazine,mentioned_in,11570976,11570976
inflammatory bowel disease,mentioned_in,11570976,11570976
rheumatological disorders,mentioned_in,11570976,11570976
rheumatoid arthritis,mentioned_in,11570976,11570976
eosinophilia,mentioned_in,11570976,11570976
granulomatous enteritis,mentioned_in,11570976,11570976
myelotoxicity,mentioned_in,11570976,11570976
cholestatic hepatitis,mentioned_in,11570976,11570976
seizures,mentioned_in,11570976,11570976
tinnitus,mentioned_in,27592038,27592038
aetiologies,mentioned_in,27592038,27592038
hearing loss,mentioned_in,27592038,27592038
trauma,mentioned_in,27592038,27592038
cervicogenic somatic tinnitus,mentioned_in,27592038,27592038
nbq-scores,mentioned_in,27592038,27592038
gpe,mentioned_in,27592038,27592038
asthma,mentioned_in,27044366,27044366
non-squamous,mentioned_in,27044366,27044366
granulocytic and neutrophilic,mentioned_in,27044366,27044366
neutrophilic asthma,mentioned_in,27044366,27044366
aids,mentioned_in,9792366,9792366
syphilis,mentioned_in,9792366,9792366
congenital syphilis,mentioned_in,9792366,9792366
inner-city,mentioned_in,9792366,9792366
panton-valentine leucocidin (pvl)-positive,mentioned_in,17562682,17562682
pvl,mentioned_in,17562682,17562682
primary bacteraemia,mentioned_in,17562682,17562682
s. aureus,mentioned_in,17562682,17562682
bacteraemic,mentioned_in,17562682,17562682
bacteraemia,mentioned_in,17562682,17562682
pvl-positive,mentioned_in,17562682,17562682
oxacillin,mentioned_in,17562682,17562682
mssa,mentioned_in,17562682,17562682
infection,mentioned_in,17562682,17562682
penicillin,mentioned_in,17562682,17562682
fusidic acid,mentioned_in,17562682,17562682
impaired fasting glucose,mentioned_in,15800018,15800018
ifg,mentioned_in,15800018,15800018
diabetes mellitus,mentioned_in,15800018,15800018
fasting blood glucose,mentioned_in,15800018,15800018
sdm,mentioned_in,15800018,15800018
positron,mentioned_in,14978612,14978612
cancer,mentioned_in,14978612,14978612
primary rectal cancer,mentioned_in,14978612,14978612
downstaged disease,mentioned_in,14978612,14978612
tumor,mentioned_in,14978612,14978612
resuscitators,mentioned_in,18843057,18843057
644.24,mentioned_in,18843057,18843057
esophagitis,mentioned_in,9199905,9199905
hypoglycaemia,mentioned_in,23999452,23999452
dysglycaemia,mentioned_in,23999452,23999452
glargine,mentioned_in,23999452,23999452
glucose,mentioned_in,23999452,23999452
mmol/l,mentioned_in,23999452,23999452
glucose ≤,mentioned_in,23999452,23999452
death,mentioned_in,23999452,23999452
myocardial infarction,mentioned_in,23999452,23999452
stroke,mentioned_in,23999452,23999452
arrhythmic death,mentioned_in,23999452,23999452
enema,mentioned_in,22534881,22534881
hirschsprung's disease and the total length of aganglionosis,mentioned_in,22534881,22534881
hirschsprung's disease,mentioned_in,22534881,22534881
enemas,mentioned_in,22534881,22534881
aganglionosis,mentioned_in,22534881,22534881
corticosteroids,mentioned_in,24785562,24785562
asthma exacerbations,mentioned_in,24785562,24785562
prednisone,mentioned_in,24785562,24785562
prednisolone,mentioned_in,24785562,24785562
dexamethasone,mentioned_in,24785562,24785562
vomiting,mentioned_in,24785562,24785562
breast cancer,mentioned_in,22564465,22564465
cancer,mentioned_in,22564465,22564465
breast cancers,mentioned_in,22564465,22564465
diabetes,mentioned_in,27456836,27456836
iaa,mentioned_in,27456836,27456836
glucose,mentioned_in,27456836,27456836
infectious disease,mentioned_in,27287237,27287237
infectious diseases,mentioned_in,27287237,27287237
prostate cancer,mentioned_in,14697414,14697414
stage t1-t3an0-nxm0,mentioned_in,14697414,14697414
death,mentioned_in,14697414,14697414
cyclopentolate,mentioned_in,26686513,26686513
hypermetropes,mentioned_in,26686513,26686513
myopes,mentioned_in,26686513,26686513
hypermetropes (2 to 5 d,mentioned_in,26686513,26686513
primary hepatocellular carcinoma,mentioned_in,15530261,15530261
tumor,mentioned_in,15530261,15530261
breast cancer,mentioned_in,24160268,24160268
malignancy,mentioned_in,24160268,24160268
cancer,mentioned_in,24160268,24160268
stroke,mentioned_in,21823940,21823940
post-stroke,mentioned_in,21823940,21823940
impaired stroke,mentioned_in,21823940,21823940
communication disorders,mentioned_in,21823940,21823940
mto,mentioned_in,21823940,21823940
neoadjuvant,mentioned_in,27217036,27217036
imatinib,mentioned_in,27217036,27217036
gastrointestinal stromal tumours,mentioned_in,27217036,27217036
gist,mentioned_in,27217036,27217036
tumour,mentioned_in,27217036,27217036
kit,mentioned_in,27217036,27217036
hypertriglyceridemia,mentioned_in,18565233,18565233
colon cancer,mentioned_in,18565233,18565233
glucose,mentioned_in,18565233,18565233
bezafibrate,mentioned_in,18565233,18565233
tumors,mentioned_in,18565233,18565233
coronary artery disease,mentioned_in,18565233,18565233
cancer,mentioned_in,18565233,18565233
bezafibrate infarction,mentioned_in,18565233,18565233
dimethyl sulfoxide,mentioned_in,27184293,27184293
323/333 donations,mentioned_in,27184293,27184293
febrile neutropenic,mentioned_in,27184293,27184293
neutropenic fever,mentioned_in,27184293,27184293
obstructive jaundice,mentioned_in,19459018,19459018
glucose,mentioned_in,22042121,22042121
solids,mentioned_in,22042121,22042121
cough,mentioned_in,16100194,16100194
angioedema,mentioned_in,16100194,16100194
ace-i,mentioned_in,16100194,16100194
angiotensin,mentioned_in,16100194,16100194
sartans,mentioned_in,16100194,16100194
weight loss,mentioned_in,25480629,25480629
upper gastrointestinal symptoms,mentioned_in,25480629,25480629
gerd,mentioned_in,25480629,25480629
hernia,mentioned_in,25480629,25480629
barium,mentioned_in,25480629,25480629
bleeding,mentioned_in,25480629,25480629
1 mid-gastric stenosis,mentioned_in,25480629,25480629
leaks,mentioned_in,25480629,25480629
asthma,mentioned_in,17453263,17453263
asthma flare-ups,mentioned_in,17453263,17453263
atrial fibrillation,mentioned_in,18322741,18322741
trauma,mentioned_in,18322741,18322741
nonthoracic,mentioned_in,18322741,18322741
trauma,mentioned_in,19106867,19106867
communication disorders,mentioned_in,25691513,25691513
hearing loss,mentioned_in,25691513,25691513
autism spectrum disorder,mentioned_in,25691513,25691513
asd,mentioned_in,25691513,25691513
typical-development,mentioned_in,25691513,25691513
methotrexate toxicity,mentioned_in,11035130,11035130
folic acid,mentioned_in,11035130,11035130
methotrexate,mentioned_in,11035130,11035130
toxicity,mentioned_in,11035130,11035130
rheumatoid arthritis,mentioned_in,11035130,11035130
neutropenia,mentioned_in,11035130,11035130
nausea,mentioned_in,11035130,11035130
lower disease activity,mentioned_in,11035130,11035130
shock,mentioned_in,19409117,19409117
calyceal calculi,mentioned_in,19409117,19409117
calculus,mentioned_in,19409117,19409117
swine,mentioned_in,21900017,21900017
lung ischemia,mentioned_in,21900017,21900017
left-and right-ventricular pressures,mentioned_in,21900017,21900017
tumor necrosis,mentioned_in,21900017,21900017
ischemia,mentioned_in,21900017,21900017
non-small cell lung cancer,mentioned_in,16968876,16968876
nsclc,mentioned_in,16968876,16968876
cancer,mentioned_in,16968876,16968876
pain,mentioned_in,16968876,16968876
dysphagia,mentioned_in,16968876,16968876
death,mentioned_in,16968876,16968876
ttn,mentioned_in,18540901,18540901
depressive disorder,mentioned_in,27448572,27448572
comorbidity,mentioned_in,27448572,27448572
infection,mentioned_in,17621202,17621202
aortic aneurysm rupture,mentioned_in,25987398,25987398
aneurysm,mentioned_in,25987398,25987398
rupture,mentioned_in,25987398,25987398
aneurysms,mentioned_in,25987398,25987398
abdominal aneurysm ruptures,mentioned_in,25987398,25987398
ruptured abdominal aneurysms,mentioned_in,25987398,25987398
ruptured aortic aneurysm,mentioned_in,25987398,25987398
hypertension,mentioned_in,25987398,25987398
comorbidity,mentioned_in,12920330,12920330
depression,mentioned_in,12920330,12920330
somatic complaints,mentioned_in,12920330,12920330
depressive symptoms,mentioned_in,12920330,12920330
depressed mood,mentioned_in,12920330,12920330
major depression,mentioned_in,23497210,23497210
antidepressants,mentioned_in,23497210,23497210
depression,mentioned_in,23497210,23497210
depressive,mentioned_in,23497210,23497210
antidepressant,mentioned_in,23497210,23497210
n06a antidepressants,mentioned_in,23497210,23497210
comorbidity,mentioned_in,23497210,23497210
myocardial damage,mentioned_in,21952349,21952349
cardiovascular death,mentioned_in,21952349,21952349
myocardial lesions,mentioned_in,21952349,21952349
angina,mentioned_in,21952349,21952349
non-st,mentioned_in,21952349,21952349
acute coronary syndrome,mentioned_in,21952349,21952349
ischemia,mentioned_in,21952349,21952349
heart failure,mentioned_in,21952349,21952349
diabetic,mentioned_in,21952349,21952349
human immunodeficiency virus /aids,mentioned_in,21712147,21712147
coformulated,mentioned_in,21712147,21712147
fxd,mentioned_in,21712147,21712147
cancer,mentioned_in,25311479,25311479
breast cancer,mentioned_in,25311479,25311479
breast cancer,mentioned_in,20602784,20602784
coma,mentioned_in,12836106,12836106
trauma,mentioned_in,12836106,12836106
injury in blunt trauma,mentioned_in,12836106,12836106
rts,mentioned_in,12836106,12836106
disorders of consciousness,mentioned_in,25588461,25588461
wakefulness syndrome,mentioned_in,25588461,25588461
post-anoxic,mentioned_in,25588461,25588461
traumatic brain injury,mentioned_in,25588461,25588461
hormone receptor-positive breast cancer,mentioned_in,19299238,19299238
fractures,mentioned_in,19299238,19299238
tamoxifen,mentioned_in,19299238,19299238
hormone receptor-positive nonmetastatic breast cancer,mentioned_in,19299238,19299238
316,mentioned_in,19299238,19299238
arthralgia,mentioned_in,19299238,19299238
bone pain,mentioned_in,19299238,19299238
myalgia,mentioned_in,19299238,19299238
bone fracture,mentioned_in,19299238,19299238
bone pain/myalgia,mentioned_in,19299238,19299238
endometrial cancer,mentioned_in,22706226,22706226
primary disease,mentioned_in,22706226,22706226
vaginal vault recurrences,mentioned_in,22706226,22706226
malignant glioma,mentioned_in,12913878,12913878
paclitaxel,mentioned_in,12913878,12913878
esophageal atresia,mentioned_in,16769333,16769333
fistula,mentioned_in,16769333,16769333
anomalies,mentioned_in,16769333,16769333
h-type fistula,mentioned_in,16769333,16769333
malformations of the respiratory tree,mentioned_in,16769333,16769333
hypoplastic bronchi,mentioned_in,16769333,16769333
nystagmus,mentioned_in,22497340,22497340
appendiceal perforation,mentioned_in,10223070,10223070
tubal infertility,mentioned_in,10223070,10223070
infertility,mentioned_in,10223070,10223070
perforation,mentioned_in,10223070,10223070
gonorrhoea,mentioned_in,8566975,8566975
multiple infections,mentioned_in,8566975,8566975
infection,mentioned_in,8566975,8566975
infections,mentioned_in,8566975,8566975
tumors,mentioned_in,9427037,9427037
astrocytomas,mentioned_in,9427037,9427037
tumor necrosis,mentioned_in,9427037,9427037
astrocytoma,mentioned_in,9427037,9427037
tumor,mentioned_in,9427037,9427037
pilocytic astrocytomas,mentioned_in,9427037,9427037
anaplastic astrocytoma,mentioned_in,9427037,9427037
gliobastoma multiforme,mentioned_in,9427037,9427037
"intimal hyperplasia, loss of vessel wall",mentioned_in,9427037,9427037
health behaviors,mentioned_in,28359277,28359277
unicompartmental knee disease,mentioned_in,15687156,15687156
tricompartmental knee,mentioned_in,15687156,15687156
condylar knee,mentioned_in,15687156,15687156
tricompartmental,mentioned_in,15687156,15687156
primary lung cancer,mentioned_in,28127977,28127977
lung cancer,mentioned_in,28127977,28127977
weight loss,mentioned_in,28127977,28127977
asthma,mentioned_in,16809243,16809243
pregnancy-induced hypertension,mentioned_in,16809243,16809243
atrial fibrillation,mentioned_in,17276182,17276182
hypertension,mentioned_in,17276182,17276182
forskolin,mentioned_in,17276182,17276182
left ventricular hypertrophy,mentioned_in,22428608,22428608
lvh,mentioned_in,22428608,22428608
hypertensive,mentioned_in,22428608,22428608
qtcd,mentioned_in,22428608,22428608
traumatic aortic injury,mentioned_in,27858166,27858166
tai,mentioned_in,27858166,27858166
aortic injury,mentioned_in,27858166,27858166
neutropenic fever,mentioned_in,23791827,23791827
cancer,mentioned_in,23791827,23791827
death,mentioned_in,23791827,23791827
stage disease,mentioned_in,23791827,23791827
primary tumors,mentioned_in,23791827,23791827
breast cancer,mentioned_in,18243752,18243752
tumours,mentioned_in,18243752,18243752
tumour,mentioned_in,18243752,18243752
pamidronate,mentioned_in,17279467,17279467
fractures,mentioned_in,17279467,17279467
bisphosphonates,mentioned_in,17279467,17279467
trauma fracture,mentioned_in,17279467,17279467
osteopenia,mentioned_in,17279467,17279467
bisphosphonate,mentioned_in,17279467,17279467
fracture,mentioned_in,22758782,22758782
hypertensive,mentioned_in,15223725,15223725
hypertension,mentioned_in,15223725,15223725
oxygen,mentioned_in,19482903,19482903
spina bifida,mentioned_in,19482903,19482903
anomaly,mentioned_in,25752912,25752912
topfa,mentioned_in,25752912,25752912
congenital heart defects,mentioned_in,25752912,25752912
chd,mentioned_in,25752912,25752912
congenital malformations,mentioned_in,25752912,25752912
atrial fibrillation,mentioned_in,21946341,21946341
± 9,mentioned_in,21946341,21946341
organic heart disease,mentioned_in,21946341,21946341
stillbirth rate,mentioned_in,16428354,16428354
ethyl-2-cyanoacrylate,mentioned_in,19302863,19302863
"ea1, ea2, ea3, eb1, eb2, eb3, la1, la2, la3, lb1, lb2, lb3), each containing 8 rats.",mentioned_in,19302863,19302863
hydroxyproline,mentioned_in,19302863,19302863
bmds,mentioned_in,24245816,24245816
major cancer,mentioned_in,24666444,24666444
hematologic complications,mentioned_in,24666444,24666444
choledocholithiasis-induced acute cholangitis,mentioned_in,19913785,19913785
choledocholithiasis,mentioned_in,19913785,19913785
cholangitis,mentioned_in,19913785,19913785
cbd,mentioned_in,19913785,19913785
breast cancer,mentioned_in,15631914,15631914
asymmetric enlargement of the ipsilateral axillary nodes moderately suspicious for metastasis,mentioned_in,15631914,15631914
tumor,mentioned_in,15631914,15631914
retinal haemorrhages,mentioned_in,11970923,11970923
convulsions,mentioned_in,11970923,11970923
haemorrhages,mentioned_in,11970923,11970923
convulsive,mentioned_in,11970923,11970923
haemorrhage,mentioned_in,11970923,11970923
systemic disorder,mentioned_in,11970923,11970923
febrile convulsion,mentioned_in,11970923,11970923
knee flexion,mentioned_in,27281318,27281318
lung cancer,mentioned_in,12846929,12846929
cancer,mentioned_in,12846929,12846929
breathlessness,mentioned_in,12846929,12846929
fracture,mentioned_in,26505821,26505821
tetracycline,mentioned_in,26505821,26505821
anomalous pulmonary venous,mentioned_in,25156467,25156467
pain,mentioned_in,22023714,22023714
bleeding,mentioned_in,16046584,16046584
irregular bleeding,mentioned_in,16046584,16046584
ethanol,mentioned_in,16155169,16155169
pain,mentioned_in,16155169,16155169
intracystic hemorrhage,mentioned_in,16155169,16155169
neoplasm,mentioned_in,19398929,19398929
polyps,mentioned_in,19398929,19398929
hypertension,mentioned_in,19398929,19398929
polyp,mentioned_in,19398929,19398929
pms,mentioned_in,28143468,28143468
prostaglandin analogues,mentioned_in,9483814,9483814
gemeprost,mentioned_in,9483814,9483814
abortion,mentioned_in,9483814,9483814
pain,mentioned_in,9483814,9483814
labour,mentioned_in,9483814,9483814
