doc_id,entity_text,entity_type
20571467,creatininaemias,DISEASE
24237112,ssi,DISEASE
21402341,carotid artery stenosis,DISEASE
21402341,stroke,DISEASE
21402341,carotid disease,DISEASE
21402341,carotid stenosis,DISEASE
21402341,peripheral vascular disease,DISEASE
21402341,pvd,DISEASE
21402341,diabetes mellitus,DISEASE
21402341,cerebrovascular disease,DISEASE
21402341,stenosis,DISEASE
21402341,strokes,DISEASE
20082356,gastric cancer,DISEASE
20082356,uicc,DISEASE
20082356,gastric carcinoma,DISEASE
26606599,heterotopic ossification,DISEASE
26606599,acetabular fractures,DISEASE
26606599,trauma,DISEASE
26606599,acetabular fracture,DISEASE
26606599,xrt,CHEMICAL
26606599,"injury, injury severity score, presence of neurologic injury",DISEASE
26606599,fracture,DISEASE
26606599,dislocation,DISEASE
26606599,blood loss,DISEASE
11340218,statins,CHEMICAL
11340218,stroke,DISEASE
11340218,74-year-old stroke,DISEASE
11340218,statin,CHEMICAL
11340218,death,DISEASE
25481573,pis,DISEASE
25277731,fractures,DISEASE
25277731,sternal fractures,DISEASE
25277731,fracture,DISEASE
25277731,pain,DISEASE
25475395,decreased sexual desire,DISEASE
25475395,androgen deficiency,DISEASE
25475395,pituitary disease,DISEASE
25475395,age-related decline,DISEASE
25475395,testosterone,CHEMICAL
25475395,androsterone glucuronide,CHEMICAL
25475395,adt-g,CHEMICAL
25475395,androstenedione,CHEMICAL
25475395,dehydroepiandrosterone sulfate,CHEMICAL
25475395,dheas,CHEMICAL
23177368,breast cancer,DISEASE
23177368,seromas,DISEASE
17179167,pterygium,DISEASE
17179167,human papillomavirus,DISEASE
17179167,pterygia,DISEASE
17179167,hpv-positive pterygia,DISEASE
27491658,aortic stenosis,DISEASE
27491658,tavi,DISEASE
19822586,hypoxia/anoxia,DISEASE
19822586,death,DISEASE
19822586,aea,CHEMICAL
27643961,comorbid major depression,DISEASE
27643961,alcohol,CHEMICAL
27643961,aud,DISEASE
23539689,cough,DISEASE
23539689,inner-city,DISEASE
23539689,ped,CHEMICAL
22453060,supraglottic airway,DISEASE
22227642,cip,CHEMICAL
12380309,stenosis,DISEASE
12380309,repetitive balanopostitis,DISEASE
12380309,balanitis,DISEASE
22186742,diverticulitis,DISEASE
22186742,malignancy,DISEASE
22186742,polyp,DISEASE
22186742,adenoma,DISEASE
22188074,dementia,DISEASE
22188074,depression,DISEASE
22188074,iadl disabilities,DISEASE
22188074,iadl disability,DISEASE
27989969,infection,DISEASE
18607272,overweight,DISEASE
18235194,dyslexia,DISEASE
18235194,hearing loss,DISEASE
18049437,multiple sclerosis,DISEASE
18049437,autoimmunity,DISEASE
18049437,streptococcal infections,DISEASE
18049437,infection,DISEASE
18049437,antideoxyribonuclease b,CHEMICAL
15597845,estradiol,CHEMICAL
15597845,2-methoxyestradiol,CHEMICAL
15597845,2me,CHEMICAL
15597845,human ovary cancer,DISEASE
15597845,epirubicine,CHEMICAL
15597845,doxorubicine,CHEMICAL
15597845,paclitaxel,CHEMICAL
15597845,docetaxel,CHEMICAL
15597845,carboplatin,CHEMICAL
15597845,vinorelbine,CHEMICAL
15597845,5-fluorouracil,CHEMICAL
15597845,mafosfamide,CHEMICAL
15597845,ovary cancer,DISEASE
17489316,renal cell carcinoma,DISEASE
17489316,pt3 renal cell carcinoma,DISEASE
17489316,pt3b tumour,DISEASE
17489316,vena cava invasion,DISEASE
17489316,tumour,DISEASE
14518645,deaths,DISEASE
14518645,poisoning,DISEASE
14518645,death,DISEASE
14518645,alcohol,CHEMICAL
20337202,preterm rupture,DISEASE
26449554,obstructive sleep apnoea,DISEASE
26449554,osa,DISEASE
26449554,obesity,DISEASE
26449554,obese,DISEASE
26449554,apnoea-hypopnoea,DISEASE
26449554,oxygen,CHEMICAL
26215326,sptb,DISEASE
26215326,preterm premature rupture,DISEASE
26215326,pprom,DISEASE
26215326,preterm labor,DISEASE
26215326,ptb,DISEASE
26215326,acd,CHEMICAL
29112560,rectal cancer,DISEASE
29112560,cancer,DISEASE
29112560,90-day,CHEMICAL
24315783,dopamine,CHEMICAL
24315783,parkinson disease,DISEASE
24315783,aripiprazole,CHEMICAL
24315783,adverse drug reaction,DISEASE
24315783,adr,CHEMICAL
24315783,schizophrenic,DISEASE
24315783,bipolar,DISEASE
24315783,addictive disorders,DISEASE
9381529,amine,CHEMICAL
9381529,chloroquine,CHEMICAL
9381529,graft-versus-host disease,DISEASE
9381529,gvhd,DISEASE
9381529,amines,CHEMICAL
9381529,cyclosporine,CHEMICAL
9381529,amines chloroquine,CHEMICAL
9381529,hydroxychloroquine,CHEMICAL
9381529,t-cell,CHEMICAL
9381529,anti-cd3epsilon,CHEMICAL
9381529,lipopolysaccharide,CHEMICAL
8985020,nasopharyngeal carcinoma,DISEASE
8985020,npc,DISEASE
8985020,anderson cancer,DISEASE
8985020,cerebrovascular accident,DISEASE
8985020,squamous cell carcinoma,DISEASE
8985020,lymphoepitheliomas,DISEASE
8985020,undifferentiated npc,DISEASE
8985020,carcinoma,DISEASE
8985020,unpc,DISEASE
26708803,torsion,DISEASE
26708803,hydrocele,DISEASE
26708803,injury to the spermatic cord,DISEASE
26708803,hernia,DISEASE
26708803,25:12,DISEASE
26708803,torsed,DISEASE
22427593,visual and/or auditory,DISEASE
22427593,hearing or vision,DISEASE
11570976,sulfasalazine,CHEMICAL
11570976,inflammatory bowel disease,DISEASE
11570976,rheumatological disorders,DISEASE
11570976,rheumatoid arthritis,DISEASE
11570976,eosinophilia,DISEASE
11570976,granulomatous enteritis,DISEASE
11570976,myelotoxicity,DISEASE
11570976,cholestatic hepatitis,DISEASE
11570976,seizures,DISEASE
27592038,tinnitus,DISEASE
27592038,aetiologies,DISEASE
27592038,hearing loss,DISEASE
27592038,trauma,DISEASE
27592038,cervicogenic somatic tinnitus,DISEASE
27592038,nbq-scores,DISEASE
27592038,gpe,CHEMICAL
27044366,asthma,DISEASE
27044366,non-squamous,DISEASE
27044366,granulocytic and neutrophilic,DISEASE
27044366,neutrophilic asthma,DISEASE
9792366,aids,DISEASE
9792366,syphilis,DISEASE
9792366,congenital syphilis,DISEASE
9792366,inner-city,DISEASE
17562682,panton-valentine leucocidin (pvl)-positive,DISEASE
17562682,pvl,DISEASE
17562682,primary bacteraemia,DISEASE
17562682,s. aureus,DISEASE
17562682,bacteraemic,DISEASE
17562682,bacteraemia,DISEASE
17562682,pvl-positive,DISEASE
17562682,oxacillin,CHEMICAL
17562682,mssa,DISEASE
17562682,infection,DISEASE
17562682,penicillin,CHEMICAL
17562682,fusidic acid,CHEMICAL
15800018,impaired fasting glucose,DISEASE
15800018,ifg,CHEMICAL
15800018,diabetes mellitus,DISEASE
15800018,fasting blood glucose,DISEASE
15800018,sdm,CHEMICAL
14978612,positron,CHEMICAL
14978612,cancer,DISEASE
14978612,primary rectal cancer,DISEASE
14978612,downstaged disease,DISEASE
14978612,tumor,DISEASE
18843057,resuscitators,CHEMICAL
18843057,644.24,DISEASE
9199905,esophagitis,DISEASE
23999452,hypoglycaemia,DISEASE
23999452,dysglycaemia,DISEASE
23999452,glargine,CHEMICAL
23999452,glucose,CHEMICAL
23999452,mmol/l,CHEMICAL
23999452,glucose ≤,CHEMICAL
23999452,death,DISEASE
23999452,myocardial infarction,DISEASE
23999452,stroke,DISEASE
23999452,arrhythmic death,DISEASE
22534881,enema,DISEASE
22534881,hirschsprung's disease and the total length of aganglionosis,DISEASE
22534881,hirschsprung's disease,DISEASE
22534881,enemas,CHEMICAL
22534881,aganglionosis,DISEASE
24785562,corticosteroids,CHEMICAL
24785562,asthma exacerbations,DISEASE
24785562,prednisone,CHEMICAL
24785562,prednisolone,CHEMICAL
24785562,dexamethasone,CHEMICAL
24785562,vomiting,DISEASE
22564465,breast cancer,DISEASE
22564465,cancer,DISEASE
22564465,breast cancers,DISEASE
27456836,diabetes,DISEASE
27456836,iaa,CHEMICAL
27456836,glucose,CHEMICAL
27287237,infectious disease,DISEASE
27287237,infectious diseases,DISEASE
14697414,prostate cancer,DISEASE
14697414,stage t1-t3an0-nxm0,DISEASE
14697414,death,DISEASE
26686513,cyclopentolate,CHEMICAL
26686513,hypermetropes,DISEASE
26686513,myopes,DISEASE
26686513,hypermetropes (2 to 5 d,CHEMICAL
15530261,primary hepatocellular carcinoma,DISEASE
15530261,tumor,DISEASE
24160268,breast cancer,DISEASE
24160268,malignancy,DISEASE
24160268,cancer,DISEASE
21823940,stroke,DISEASE
21823940,post-stroke,DISEASE
21823940,impaired stroke,DISEASE
21823940,communication disorders,DISEASE
21823940,mto,CHEMICAL
27217036,neoadjuvant,CHEMICAL
27217036,imatinib,CHEMICAL
27217036,gastrointestinal stromal tumours,DISEASE
27217036,gist,DISEASE
27217036,tumour,DISEASE
27217036,kit,CHEMICAL
18565233,hypertriglyceridemia,DISEASE
18565233,colon cancer,DISEASE
18565233,glucose,CHEMICAL
18565233,bezafibrate,CHEMICAL
18565233,tumors,DISEASE
18565233,coronary artery disease,DISEASE
18565233,cancer,DISEASE
18565233,bezafibrate infarction,CHEMICAL
27184293,dimethyl sulfoxide,CHEMICAL
27184293,323/333 donations,CHEMICAL
27184293,febrile neutropenic,DISEASE
27184293,neutropenic fever,DISEASE
19459018,obstructive jaundice,DISEASE
22042121,glucose,CHEMICAL
22042121,solids,CHEMICAL
16100194,cough,DISEASE
16100194,angioedema,DISEASE
16100194,ace-i,CHEMICAL
16100194,angiotensin,CHEMICAL
16100194,sartans,CHEMICAL
25480629,weight loss,DISEASE
25480629,upper gastrointestinal symptoms,DISEASE
25480629,gerd,DISEASE
25480629,hernia,DISEASE
25480629,barium,CHEMICAL
25480629,bleeding,DISEASE
25480629,1 mid-gastric stenosis,CHEMICAL
25480629,leaks,DISEASE
17453263,asthma,DISEASE
17453263,asthma flare-ups,DISEASE
18322741,atrial fibrillation,DISEASE
18322741,trauma,DISEASE
18322741,nonthoracic,DISEASE
19106867,trauma,DISEASE
25691513,communication disorders,DISEASE
25691513,hearing loss,DISEASE
25691513,autism spectrum disorder,DISEASE
25691513,asd,DISEASE
25691513,typical-development,DISEASE
11035130,methotrexate toxicity,CHEMICAL
11035130,folic acid,CHEMICAL
11035130,methotrexate,CHEMICAL
11035130,toxicity,DISEASE
11035130,rheumatoid arthritis,DISEASE
11035130,neutropenia,DISEASE
11035130,nausea,DISEASE
11035130,lower disease activity,DISEASE
19409117,shock,DISEASE
19409117,calyceal calculi,DISEASE
19409117,calculus,DISEASE
21900017,swine,CHEMICAL
21900017,lung ischemia,DISEASE
21900017,left-and right-ventricular pressures,DISEASE
21900017,tumor necrosis,DISEASE
21900017,ischemia,DISEASE
16968876,non-small cell lung cancer,DISEASE
16968876,nsclc,DISEASE
16968876,cancer,DISEASE
16968876,pain,DISEASE
16968876,dysphagia,DISEASE
16968876,death,DISEASE
18540901,ttn,DISEASE
27448572,depressive disorder,DISEASE
27448572,comorbidity,DISEASE
17621202,infection,DISEASE
25987398,aortic aneurysm rupture,DISEASE
25987398,aneurysm,DISEASE
25987398,rupture,DISEASE
25987398,aneurysms,DISEASE
25987398,abdominal aneurysm ruptures,DISEASE
25987398,ruptured abdominal aneurysms,DISEASE
25987398,ruptured aortic aneurysm,DISEASE
25987398,hypertension,DISEASE
12920330,comorbidity,DISEASE
12920330,depression,DISEASE
12920330,somatic complaints,DISEASE
12920330,depressive symptoms,DISEASE
12920330,depressed mood,DISEASE
23497210,major depression,DISEASE
23497210,antidepressants,CHEMICAL
23497210,depression,DISEASE
23497210,depressive,DISEASE
23497210,antidepressant,CHEMICAL
23497210,n06a antidepressants,CHEMICAL
23497210,comorbidity,DISEASE
21952349,myocardial damage,DISEASE
21952349,cardiovascular death,DISEASE
21952349,myocardial lesions,DISEASE
21952349,angina,DISEASE
21952349,non-st,CHEMICAL
21952349,acute coronary syndrome,DISEASE
21952349,ischemia,DISEASE
21952349,heart failure,DISEASE
21952349,diabetic,DISEASE
21712147,human immunodeficiency virus /aids,DISEASE
21712147,coformulated,CHEMICAL
21712147,fxd,CHEMICAL
25311479,cancer,DISEASE
25311479,breast cancer,DISEASE
20602784,breast cancer,DISEASE
12836106,coma,DISEASE
12836106,trauma,DISEASE
12836106,injury in blunt trauma,DISEASE
12836106,rts,DISEASE
25588461,disorders of consciousness,DISEASE
25588461,wakefulness syndrome,DISEASE
25588461,post-anoxic,DISEASE
25588461,traumatic brain injury,DISEASE
19299238,hormone receptor-positive breast cancer,DISEASE
19299238,fractures,DISEASE
19299238,tamoxifen,CHEMICAL
19299238,hormone receptor-positive nonmetastatic breast cancer,DISEASE
19299238,316,CHEMICAL
19299238,arthralgia,DISEASE
19299238,bone pain,DISEASE
19299238,myalgia,DISEASE
19299238,bone fracture,DISEASE
19299238,bone pain/myalgia,DISEASE
22706226,endometrial cancer,DISEASE
22706226,primary disease,DISEASE
22706226,vaginal vault recurrences,DISEASE
12913878,malignant glioma,DISEASE
12913878,paclitaxel,CHEMICAL
16769333,esophageal atresia,DISEASE
16769333,fistula,DISEASE
16769333,anomalies,DISEASE
16769333,h-type fistula,DISEASE
16769333,malformations of the respiratory tree,DISEASE
16769333,hypoplastic bronchi,DISEASE
22497340,nystagmus,DISEASE
10223070,appendiceal perforation,DISEASE
10223070,tubal infertility,DISEASE
10223070,infertility,DISEASE
10223070,perforation,DISEASE
8566975,gonorrhoea,DISEASE
8566975,multiple infections,DISEASE
8566975,infection,DISEASE
8566975,infections,DISEASE
9427037,tumors,DISEASE
9427037,astrocytomas,DISEASE
9427037,tumor necrosis,DISEASE
9427037,astrocytoma,DISEASE
9427037,tumor,DISEASE
9427037,pilocytic astrocytomas,DISEASE
9427037,anaplastic astrocytoma,DISEASE
9427037,gliobastoma multiforme,DISEASE
9427037,"intimal hyperplasia, loss of vessel wall",DISEASE
28359277,health behaviors,DISEASE
15687156,unicompartmental knee disease,DISEASE
15687156,tricompartmental knee,DISEASE
15687156,condylar knee,DISEASE
15687156,tricompartmental,DISEASE
28127977,primary lung cancer,DISEASE
28127977,lung cancer,DISEASE
28127977,weight loss,DISEASE
16809243,asthma,CHEMICAL
16809243,pregnancy-induced hypertension,DISEASE
17276182,atrial fibrillation,DISEASE
17276182,hypertension,DISEASE
17276182,forskolin,CHEMICAL
22428608,left ventricular hypertrophy,DISEASE
22428608,lvh,DISEASE
22428608,hypertensive,DISEASE
22428608,qtcd,DISEASE
27858166,traumatic aortic injury,DISEASE
27858166,tai,DISEASE
27858166,aortic injury,DISEASE
23791827,neutropenic fever,DISEASE
23791827,cancer,DISEASE
23791827,death,DISEASE
23791827,stage disease,DISEASE
23791827,primary tumors,DISEASE
18243752,breast cancer,DISEASE
18243752,tumours,DISEASE
18243752,tumour,DISEASE
17279467,pamidronate,CHEMICAL
17279467,fractures,DISEASE
17279467,bisphosphonates,CHEMICAL
17279467,trauma fracture,DISEASE
17279467,osteopenia,DISEASE
17279467,bisphosphonate,CHEMICAL
22758782,fracture,DISEASE
15223725,hypertensive,DISEASE
15223725,hypertension,DISEASE
19482903,oxygen,CHEMICAL
19482903,spina bifida,DISEASE
25752912,anomaly,DISEASE
25752912,topfa,DISEASE
25752912,congenital heart defects,DISEASE
25752912,chd,DISEASE
25752912,congenital malformations,DISEASE
21946341,atrial fibrillation,DISEASE
21946341,± 9,CHEMICAL
21946341,organic heart disease,DISEASE
16428354,stillbirth rate,DISEASE
19302863,ethyl-2-cyanoacrylate,CHEMICAL
19302863,"ea1, ea2, ea3, eb1, eb2, eb3, la1, la2, la3, lb1, lb2, lb3), each containing 8 rats.",DISEASE
19302863,hydroxyproline,CHEMICAL
24245816,bmds,DISEASE
24666444,major cancer,DISEASE
24666444,hematologic complications,DISEASE
19913785,choledocholithiasis-induced acute cholangitis,DISEASE
19913785,choledocholithiasis,DISEASE
19913785,cholangitis,DISEASE
19913785,cbd,CHEMICAL
15631914,breast cancer,DISEASE
15631914,asymmetric enlargement of the ipsilateral axillary nodes moderately suspicious for metastasis,DISEASE
15631914,tumor,DISEASE
11970923,retinal haemorrhages,DISEASE
11970923,convulsions,DISEASE
11970923,haemorrhages,DISEASE
11970923,convulsive,DISEASE
11970923,haemorrhage,DISEASE
11970923,systemic disorder,DISEASE
11970923,febrile convulsion,DISEASE
27281318,knee flexion,DISEASE
12846929,lung cancer,DISEASE
12846929,cancer,DISEASE
12846929,breathlessness,DISEASE
26505821,fracture,DISEASE
26505821,tetracycline,CHEMICAL
25156467,anomalous pulmonary venous,DISEASE
22023714,pain,DISEASE
16046584,bleeding,DISEASE
16046584,irregular bleeding,DISEASE
16155169,ethanol,CHEMICAL
16155169,pain,DISEASE
16155169,intracystic hemorrhage,DISEASE
19398929,neoplasm,DISEASE
19398929,polyps,DISEASE
19398929,hypertension,DISEASE
19398929,polyp,DISEASE
28143468,pms,DISEASE
9483814,prostaglandin analogues,CHEMICAL
9483814,gemeprost,CHEMICAL
9483814,abortion,DISEASE
9483814,pain,DISEASE
9483814,labour,CHEMICAL
9483814,pethidin,CHEMICAL
9483814,butylscopolamine,CHEMICAL
9483814,bupivacain,CHEMICAL
9483814,prostaglandin,CHEMICAL
22720085,hyperglycemia,DISEASE
22720085,cardiovascular disease,DISEASE
22720085,cvd,DISEASE
22720085,diabetes,DISEASE
22720085,glucose,CHEMICAL
24748473,weight loss,DISEASE
24748473,obese,DISEASE
24748473,obesity,DISEASE
24748473,lsgs,DISEASE
24748473,apnea,DISEASE
15588538,functional somatic symptoms,DISEASE
15588538,chronic functional somatic symptoms,DISEASE
15588538,nijmegen,DISEASE
15588538,comorbidity,DISEASE
15588538,psychiatric,DISEASE
22211919,urinary tract infection,DISEASE
24433626,congestive heart failure,DISEASE
24433626,ischemic heart disease,DISEASE
24433626,stroke/transient,DISEASE
24433626,chronic kidney disease,DISEASE
24433626,depression,DISEASE
24433626,diabetes,DISEASE
24433626,osteoporosis,DISEASE
24433626,rheumatoid arthritis/osteoarthritis,DISEASE
24433626,alzheimer's disease,DISEASE
24433626,cancer,DISEASE
24433626,chronic obstructive pulmonary disease,DISEASE
9542484,syphilis,DISEASE
9542484,labour,CHEMICAL
17008699,prostate cancer,DISEASE
17008699,primary prostate cancer,DISEASE
17008699,toxicity,DISEASE
17008699,anxiety,DISEASE
17008699,depression,DISEASE
23228527,cortisol,CHEMICAL
23228527,n=65,CHEMICAL
15489384,spasticity,DISEASE
15489384,stroke,DISEASE
17444776,holmium,CHEMICAL
8422202,metered-dose,CHEMICAL
8422202,asthma,DISEASE
23794696,alginate,CHEMICAL
20549895,overweight,DISEASE
20549895,alcohol,CHEMICAL
20549895,diphtheria,DISEASE
20549895,tetanus,DISEASE
20549895,poliomyelitis,DISEASE
20549895,hepatitis b,DISEASE
18714572,neoplasia,DISEASE
18714572,vaginal lesions,DISEASE
18714572,koilocytosis,DISEASE
18714572,cin,DISEASE
18714572,cin ii,CHEMICAL
18714572,carcinoma,DISEASE
18714572,high-grade vain,DISEASE
8910148,ventricular dysfunction,DISEASE
8910148,left ventricular dysfunction,DISEASE
8910148,fac,CHEMICAL
8910148,epinephrine,CHEMICAL
8910148,hemorrhage,DISEASE
23899611,sodium chloride,CHEMICAL
23899611,edaravone,CHEMICAL
23899611,glutathione,CHEMICAL
23899611,gsh,CHEMICAL
23899611,malondialdehyde,CHEMICAL
23899611,mda,CHEMICAL
23899611,tac,CHEMICAL
23899611,edema,DISEASE
23899611,i/r injury,DISEASE
10548670,stroke,DISEASE
10548670,neurological deficit,DISEASE
10548670,ninds,DISEASE
10548670,cerebral infarction,DISEASE
10548670,right hemisphere strokes,DISEASE
10548670,left hemisphere strokes,DISEASE
10548670,hemisphere stroke,DISEASE
10548670,hemisphere strokes,DISEASE
10548670,left hemisphere stroke,DISEASE
10548670,right hemisphere stroke,DISEASE
26907557,tmj,DISEASE
20871246,nonorthopaedic injuries,DISEASE
20871246,fractures,DISEASE
20871246,pelvic fractures,DISEASE
20871246,trauma,DISEASE
20871246,abdomen injuries,DISEASE
20871246,abdomen injury,DISEASE
22876568,celiac disease,DISEASE
22876568,autoimmune enteropathy,DISEASE
22876568,villus atrophy,DISEASE
22876568,malabsorption,DISEASE
22876568,vitamin d,CHEMICAL
22876568,autoimmune diseases,DISEASE
22876568,calcium,CHEMICAL
22876568,25-hydroxyvitamin d,CHEMICAL
22876568,non-obese,DISEASE
15280782,hiv infection,DISEASE
15280782,hiv- infected,DISEASE
17502203,cholestasis,DISEASE
17502203,small bowel atresia,DISEASE
17502203,atresia,DISEASE
17502203,duodenal atresia,DISEASE
17502203,jejunoileal atresia,DISEASE
17502203,multiple atresia,DISEASE
17502203,short bowel,DISEASE
17502203,biliary atresia,DISEASE
17502203,deaths,DISEASE
26370095,cipt,CHEMICAL
26370095,482/qaly,CHEMICAL
10354335,pain,DISEASE
26452334,head and neck paragangliomas,DISEASE
26452334,tumour,DISEASE
26452334,tumours,DISEASE
26452334,paragangliomas,DISEASE
15065192,breast lesions,DISEASE
15065192,malignancy,DISEASE
25488308,malocclusion,DISEASE
25488308,orthodontic,DISEASE
25488308,thickness,CHEMICAL
26222664,neurological complications,DISEASE
26222664,neurological deficit,DISEASE
26222664,thoracic 3-column osteotomies,DISEASE
26222664,3-column osteotomies,CHEMICAL
22617083,psychiatric,DISEASE
22617083,personality disorder,DISEASE
9767546,ages,CHEMICAL
9767546,glycoxidation,CHEMICAL
9767546,normoglycemic uremia,DISEASE
9767546,uremia,DISEASE
9767546,carbohydrate-derived adducts,CHEMICAL
9767546,maillard,CHEMICAL
9767546,carboxymethyllysine,CHEMICAL
9767546,cml,CHEMICAL
9767546,polyunsaturated fatty acids,CHEMICAL
9767546,carbohydrate,CHEMICAL
9767546,carbonyl compounds,CHEMICAL
9767546,pentosidine,CHEMICAL
9767546,carbohydrate-derived carbonyls,CHEMICAL
9767546,malondialdehyde,CHEMICAL
9767546,lipid-derived carbonyls,CHEMICAL
9767546,fructoselysine,CHEMICAL
9767546,diabetic and non-diabetic,DISEASE
9767546,glucose,CHEMICAL
9767546,diabetic and non-diabetic hemodialysis,DISEASE
21214884,hpv infection,DISEASE
21214884,breast milk,DISEASE
23321509,ovarian cancer,DISEASE
23321509,peritoneal carcinomatosis,DISEASE
23321509,ascites,DISEASE
23321509,tumour,DISEASE
23321509,platinum,CHEMICAL
16827975,non-small lung carcinoma,DISEASE
16827975,non-small cell carcinoma,DISEASE
16827975,iiib,CHEMICAL
16827975,comorbidity,DISEASE
16827975,weight loss,DISEASE
18179827,ropivacaine hydrochloride,CHEMICAL
18179827,pain,DISEASE
18179827,ropivacaine,CHEMICAL
18179827,"nausea,",DISEASE
18179827,fever,DISEASE
18179827,vomiting,DISEASE
18179827,bleeding,DISEASE
18179827,otalgia,DISEASE
18179827,trismus,DISEASE
14872327,pain,DISEASE
14872327,psychiatric,DISEASE
14872327,psychiatric disorder,DISEASE
